,Simulation,Ganhador,Player 0,Player 1,Player 2,Player 3
31,1.0,Player 2,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
32,1.0,Player 2,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, red)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
33,1.0,Player 1,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, red)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
34,1.0,Player 1,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, red)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
35,1.0,Player 0,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, red)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
36,1.0,Player 0,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
37,1.0,Player 0,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, red)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
38,1.0,Player 3,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, red)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
39,1.0,Player 3,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, yellow)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
40,1.0,Player 3,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
41,1.0,Player 2,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
42,1.0,Player 1,"['Card (2, blue)', 'Card (8, blue)', 'Card (5, green)', 'Card (3, yellow)', 'Card (2, yellow)', 'Card (1, yellow)', 'Card (X, yellow)']","['Card (9, yellow)', 'Card (X, blue)', 'Card (3, red)', 'Card (X, blue)', 'Card (8, yellow)', 'Card (R, green)', 'Card (4, green)']","['Card (X, green)', 'Card (8, red)', 'Card (4, blue)', 'Card (4, red)', 'Card (2, yellow)', 'Card (4, yellow)', 'Card (+, red)']","['Card (1, red)', 'Card (1, blue)', 'Card (R, blue)', 'Card (C, green)', 'Card (R, green)', 'Card (8, green)', 'Card (2, red)']"
